reel_id,posting_day,posting_time,niche,trending_audio,reel_length_seconds,hook_type,first_frame_type,views,likes,shares,saves,skip_rate,comments,performance
S259,Saturday,23:00,Gym,No,8,Transformation,Face,9938,390,32,8,56.6,0,Bad
S260,Saturday,23:00,Gym,No,16,Transformation,Text+Body,2630,116,9,1,57.4,0,Bad
S261,Thursday,12:00,Gym,Yes,19,Relatable,Face,75156,2394,302,38,50.5,5,Mid
S262,Friday,22:00,Gym,Yes,16,Challenge,Face,14261,696,49,13,53.4,0,Bad
S263,Friday,22:00,Gym,Yes,7,Challenge,Text+Body,3533,75,15,3,55.0,0,Bad
S264,Sunday,13:00,Gym,Yes,19,Transformation,Text+Body,10819,534,35,4,64.9,0,Bad
S265,Friday,23:00,Gym,Yes,5,Transformation,Face,11115,340,42,5,61.9,0,Bad
S266,Sunday,18:00,Gym,No,14,Transformation,Face,71661,2499,498,118,47.0,4,Mid
S267,Monday,10:00,Gym,No,5,Challenge,Face,3079,109,13,1,61.5,0,Bad
S268,Thursday,17:00,Gym,Yes,15,Challenge,Text+Body,93160,5570,308,152,43.6,5,Mid
S269,Thursday,18:00,Gym,Yes,18,Transformation,Text+Body,67873,4056,387,92,41.9,4,Mid
S270,Sunday,08:00,Gym,No,6,Transformation,Face,3702,78,4,1,56.1,0,Bad
S271,Thursday,21:00,Gym,Yes,9,Challenge,Text+Body,435863,19315,9982,1223,36.6,77,Viral
S272,Thursday,22:00,Gym,No,13,Relatable,Face,4201,121,14,0,50.7,0,Bad
S273,Thursday,18:00,Gym,Yes,9,Relatable,Text+Body,434330,21701,13381,1104,41.9,64,Viral
S274,Wednesday,08:00,Gym,Yes,9,Challenge,Text+Body,6181,224,19,4,63.8,0,Bad
S275,Thursday,12:00,Gym,Yes,10,Transformation,Text+Body,90032,2841,390,86,44.1,7,Mid
S276,Saturday,08:00,Gym,Yes,9,Challenge,Text+Body,10833,482,18,5,52.9,0,Bad
S277,Saturday,23:00,Gym,No,7,Transformation,Text+Body,6509,277,7,2,53.9,0,Bad
S278,Thursday,14:00,Gym,Yes,28,Transformation,Text+Body,26045,1218,220,40,46.9,1,Mid
S279,Sunday,22:00,Gym,No,19,Transformation,Text+Body,74040,3840,668,67,50.9,6,Mid
S280,Wednesday,14:00,Gym,No,7,Transformation,Face,11588,465,31,7,49.1,0,Bad
S281,Friday,13:00,Gym,Yes,17,Transformation,Text+Body,10703,525,29,4,47.2,0,Bad
S282,Saturday,12:00,Gym,No,18,Challenge,Text+Body,55992,1878,544,87,42.3,5,Mid
S283,Thursday,15:00,Gym,Yes,16,Transformation,Text+Body,89070,4469,763,77,42.1,6,Mid
S284,Friday,19:00,Gym,Yes,7,Relatable,Face,107918,5581,1698,196,35.1,20,Viral
S285,Friday,17:00,Gym,Yes,25,Transformation,Text+Body,51785,2618,275,30,42.0,2,Mid
S286,Sunday,21:00,Gym,Yes,7,Transformation,Text+Body,400375,17232,7341,621,37.6,45,Viral
S287,Sunday,14:00,Gym,No,12,Transformation,Text+Body,98211,4583,425,134,45.7,4,Mid
S288,Friday,23:00,Gym,Yes,12,Relatable,Text+Body,4668,185,22,3,51.8,0,Bad
S289,Tuesday,22:00,Gym,Yes,13,Relatable,Text+Body,9903,277,10,9,58.2,0,Bad
S290,Saturday,12:00,Gym,No,14,Transformation,Text+Body,29796,998,183,42,38.0,1,Mid
S291,Sunday,18:30,Funny,Yes,10,Wordplay,Text+Face,3492475,191880,208546,6919,27.8,640,Explosive
S292,Tuesday,08:00,Funny,No,12,Shock,Text+Face,14945,401,47,11,54.9,0,Bad
S293,Wednesday,17:00,Funny,Yes,14,Wordplay,Text+Face,242388,9810,2984,684,33.3,25,Viral
S294,Friday,21:30,Funny,No,6,Relatable,Text+Face,435396,27931,15103,1247,43.5,57,Viral
S295,Wednesday,14:00,Funny,Yes,29,Relatable,Text+Face,80513,3447,357,136,42.1,4,Mid
S296,Sunday,08:00,Funny,No,16,Relatable,Text+Face,9638,264,36,5,55.2,0,Bad
S297,Saturday,21:00,Funny,No,8,Shock,Group,108765,5332,2727,120,37.9,13,Viral
S298,Sunday,22:00,Funny,No,10,Wordplay,Text+Face,93542,3120,618,157,43.7,8,Mid
S299,Saturday,18:00,Funny,No,6,Wordplay,Text+Face,1894130,89968,95843,4937,28.8,196,Explosive
S300,Thursday,17:00,Funny,Yes,28,Wordplay,Text+Face,42773,1737,279,81,51.3,3,Mid
